Gene,N_Silent,N_Missense,N_LOF,N_Splicing,N_TotalMut,CDS_length,Average_Polyphen2Score,HiFI_Missense,Benign,Mutations.per.Kb,LOF/Silent*,LOF/Benign*,pvalue_LOF/Benign,qvalue_LOF/Benign,Splicing/Benign*,pvalue_Splicing/Benign,qvalue_Splicing/Benign,MissDamaging/Benign*,pvalue_MissDamaging/Benign,qvalue_MissDamaging/Benign,pvalue_Deletion_GISTIC2,qvalue_Deletion_GISTIC2,TUSON_p_value_TSG,TUSON_q_value_TSG,TSG_Probability_LASSO,Chromosome
TP53BP1,15,81,18,2,116,5919,0.6049167,47,35,19.5979,1.159235669,0.5,9.07E-05,0.011937914,0.054945055,0.295502675,1,1.315068493,0.002035246,0.109315058,5.41E-48,4.86E-47,2.53E-05,0.004304063,0.828868692,15
CCDC88A,16,90,19,2,127,5532,0.6271324,64,36,22.9573,1.149700599,0.513368984,0.000499265,0.048180391,0.053475936,0.31724398,1,1.733333333,4.63E-06,0.001323766,2.15E-11,8.01E-11,2.53E-05,0.004304063,0.84725357,2
EIF2AK3,10,51,10,0,71,3351,0.6959714,34,15,21.1877,0.953271028,0.62195122,0.000198779,0.022318292,0,1,1,2.121212121,5.38E-05,0.009176684,0.989696919,1,2.87E-05,0.004824458,0.446943901,2
USP9X,29,104,28,8,169,7644,0.5472034,44,61,22.1088,0.949494949,0.451923077,5.92E-06,0.001136544,0.080128205,0.001015826,0.170489235,0.72,0.4908781,1,0.999999997,1,3.48E-05,0.005808763,0.85880636,X
GSE1,16,37,14,0,67,3654,0.6596667,23,21,18.3361,0.850299401,0.633928571,1.49E-05,0.002574675,0,1,1,1.066666667,0.085747015,0.707289185,3.21E-28,1.94E-27,4.12E-05,0.006814916,0.908939548,16
JMJD1C,26,104,20,3,153,6912,0.6246543,61,51,22.1354,0.756554307,0.385496183,0.000169883,0.020070154,0.057251908,0.218003276,1,1.180952381,0.001903789,0.104977053,0.955285817,1,4.33E-05,0.007090965,0.43130175,10
CBFB,3,20,9,1,33,549,0.7835333,14,6,60.1093,2.486486486,1.243243243,0.000106988,0.013790278,0.135135135,0.187893165,1,2,0.008277337,0.2399782,4.42E-08,1.46E-07,4.68E-05,0.007601946,0.867773915,16
FANCM,20,95,25,2,142,6147,0.4848971,48,52,23.1007,1.217391304,0.471910112,3.08E-05,0.004738432,0.037453184,0.481596493,1,0.91588785,0.072125627,0.639495537,0.998777696,1,4.76E-05,0.00765933,0.588625802,14
IWS1,9,34,11,2,56,2460,0.73152,25,13,22.7642,1.154639175,0.777777778,0.000268549,0.02844768,0.138888889,0.07000135,1,1.793103448,0.001051508,0.070801568,0.540115999,1,4.98E-05,0.007951745,0.936817201,2
FOXA1,11,41,11,0,63,1419,0.7807391,30,18,44.3975,0.957264957,0.577319588,0.000228391,0.024909455,0,1,1,1.58974359,0.000325502,0.032522196,0.991678535,1,5.39E-05,0.008536741,0.625659083,14
ZNF292,29,100,31,0,160,7737,0.4854819,49,66,20.6799,1.050505051,0.462908012,5.40E-06,0.001047434,0,1,1,0.740740741,0.411221514,1,2.32E-22,1.17E-21,6.08E-05,0.00954303,0.77067536,6
ZNRF3,9,45,12,1,67,2511,0.604625,26,19,26.6826,1.257731959,0.598039216,7.82E-05,0.010592768,0.049019608,0.480091291,1,1.317073171,0.023186562,0.399243342,0.829585517,1,6.13E-05,0.009547731,0.905468824,22
BRCA1,20,87,28,5,140,5592,0.4184478,38,57,25.0358,1.362318841,0.482876712,7.88E-06,0.001477621,0.085616438,0.037354915,0.893571397,0.666666667,0.549657718,1,8.23E-06,2.51E-05,6.27E-05,0.009679157,0.790358464,17
TCF7L2,17,38,17,1,73,1791,0.632,23,26,40.7594,0.971751412,0.627737226,1.68E-05,0.002836152,0.03649635,0.55191019,1,0.872727273,0.238826321,0.970645686,9.45E-24,5.01E-23,6.46E-05,0.00983752,0.93454222,10
CHD2,16,78,19,6,119,5220,0.6095682,43,36,22.7969,1.149700599,0.513368984,0.000170953,0.020070154,0.13368984,0.001518335,0.212926211,1.173333333,0.0140507,0.315741489,1,1,6.48E-05,0.00983752,0.850802658,15
SOX9,11,37,14,0,62,1530,0.6101111,22,19,40.5229,1.213675214,0.696078431,3.08E-05,0.004738432,0,1,1,1.12195122,0.065788874,0.621617423,0.999558701,1,6.53E-05,0.00983752,0.798961186,17
WDR33,16,61,20,2,99,4011,0.5046486,31,37,24.6821,1.209580838,0.526041667,1.91E-05,0.003150424,0.052083333,0.31724398,1,0.831168831,0.255543227,0.99560106,0.61641003,1,6.93E-05,0.010362261,0.883363392,2
EMG1,0,9,5,11,25,1389,0.60825,4,1,17.9986,7.428571429,2.166666667,0.000163945,0.019495704,2.916666667,1.59E-16,3.66E-13,2,0.094596289,0.735247775,0.961465939,1,7.05E-05,0.010458501,0.892802957,12
MTFR1L,1,8,5,1,15,879,0.7391429,6,1,17.0648,3.058823529,2.166666667,0.000127543,0.015672479,0.416666667,0.057730378,1,2.8,0.021442303,0.382789391,1.35E-87,3.06E-86,7.30E-05,0.010740094,0.964320503,1
TRAF3,11,20,15,1,47,1707,0.4585333,9,17,27.5337,1.299145299,0.826086957,4.56E-06,0.000893699,0.054347826,0.41443284,1,0.540540541,0.726062903,1,1.44E-08,4.85E-08,8.53E-05,0.012445592,0.90129325,14
AMER1,24,101,32,0,157,2415,0.3868816,35,68,65.0104,1.303643725,0.463976945,7.46E-07,0.000169685,0,1,1,0.517985612,0.939474566,1,0.999999608,1,8.85E-05,0.01277051,0.77024094,X
SIN3A,17,73,18,1,109,3822,0.6456,44,36,28.5191,1.028248588,0.486631016,0.000178404,0.020681427,0,0.66715578,1,1.2,0.007767433,0.229491204,0.993008795,1,8.95E-05,0.01277051,0.778596911,15
SOX21,0,8,3,0,11,831,0.813,5,0,13.2371,4.571428571,2.285714286,0.000110396,0.014130728,0,1,1,4,0.011524994,0.271476724,0.833642794,1,8.96E-05,0.01277051,0.562882916,13
CCDC144NL,3,15,9,0,27,666,0.4804545,9,6,40.5405,2.486486486,1.243243243,3.51E-05,0.005283523,0,1,1,1.333333333,0.108865355,0.745415987,0.532603671,1,9.66E-05,0.01367472,0.928621439,17
LUC7L3,2,19,8,0,29,1299,0.7987692,15,5,22.3249,3.037037037,1.28125,0.000239752,0.025842769,0,1,1,2.461538462,0.002139883,0.111721096,1,1,0.00010003,0.01404855,0.876415039,17
RPL5,1,17,10,3,31,894,0.6098,9,9,34.6756,6,0.980769231,7.29E-05,0.009954605,0.288461538,0.004533873,0.368547673,0.952380952,0.147101957,0.849780159,9.88E-19,4.43E-18,0.000103513,0.014429267,0.943353196,1
AMBRA1,19,66,17,3,105,3627,0.6758571,42,37,28.9495,0.873096447,0.447916667,0.000196216,0.022188031,0.026041667,0.111791183,1,1.116883117,0.018919302,0.355506891,0.99982156,1,0.000108233,0.014975411,0.786739291,11
CSNK2A1,1,28,7,1,37,1176,0.6982105,22,7,31.4626,4.235294118,0.857142857,0.000940968,0.076696963,0.119047619,0.211683238,1,2.705882353,0.00014482,0.018953072,0.756007878,1,0.00010946,0.015033876,0.772698924,20
ZMYM4,10,50,17,4,81,4647,0.5296286,26,30,17.4306,1.607476636,0.547770701,4.84E-05,0.006962966,0.095541401,0.016951361,0.644048715,0.857142857,0.241807574,0.971784232,0.000449331,0.00123901,0.000111686,0.015227643,0.890145164,1
AXIN1,19,39,18,2,78,2589,0.5300588,23,31,30.1275,0.923857868,0.561728395,1.97E-05,0.003211162,0.030864198,0.262722237,1,0.738461538,0.436002373,1,1,1,0.000115029,0.015536495,0.620988622,16
FAS,2,19,8,2,31,1008,0.6323571,12,6,30.7540,3.037037037,1.108108108,0.000212136,0.023274375,0,0.02136265,0.720097705,1.733333333,0.024817073,0.416621939,7.22E-63,8.67E-62,0.000115615,0.015536495,0.868311268,10
INPPL1,20,58,16,5,99,3777,0.5886486,32,32,26.2113,0.782608696,0.48502994,9.28E-05,0.012124623,0.119760479,0.005417629,0.401319581,0.985074627,0.131986409,0.80661355,0.999996731,1,0.000120068,0.016019584,0.769100459,11
EPHA2,13,60,14,3,90,2931,0.4775789,29,29,30.7062,1.03649635,0.467105263,0.000112324,0.014278262,0.098684211,0.071519314,1,0.983606557,0.076331597,0.660096042,1.64E-114,7.16E-113,0.000121516,0.01609789,0.850820618,1
HERC1,41,135,27,6,209,14586,0.6415149,92,73,14.3288,0.652278177,0.365591398,0.000852737,0.071653253,0.080645161,0.031151695,0.846204308,1.248322148,0.000661596,0.053125091,0.751424222,1,0.000128312,0.016878514,0.690826838,15
DACH1,14,56,12,0,82,2127,0.613375,39,24,38.5520,0.829931973,0.480314961,0.000722363,0.06310238,0,1,1,1.568627451,0.000167663,0.021488555,6.36E-24,3.39E-23,0.000138146,0.018044925,0.664909946,13
PTCH1,32,97,20,4,153,4344,0.6002364,51,60,35.2210,0.617737003,0.328990228,8.30E-05,0.011114935,0.06514658,0.113265207,1,0.845528455,0.145563086,0.848879762,0.999661697,1,0.000141167,0.018311561,0.844911324,9
CNOT3,9,50,8,3,70,2262,0.7865484,38,15,30.9461,0.845360825,0.5,0.005045161,0.236621902,0.12195122,0.014753078,0.63176875,2.363636364,3.05E-07,0.000157694,6.75E-17,2.85E-16,0.000143589,0.018409873,0.606182886,19
CTDNEP1,1,7,8,2,18,735,0.4504,2,5,24.4898,4.823529412,1.28125,1.42E-05,0.002477841,0.3125,0.01633704,0.638569691,0.461538462,0.704285014,1,0.000902182,0.002432779,0.000143896,0.018409873,0.92483217,17
EXO5,0,15,7,0,22,1122,0.8744545,9,4,19.6078,10.28571429,1.333333333,0.000115586,0.014592319,0,1,1,1.818181818,0.0376579,0.503116046,0.994827551,1,0.000153301,0.019479687,0.769158352,1
ATAD2,16,83,25,2,126,4173,0.50975,39,53,30.1941,1.508982036,0.463235294,3.34E-05,0.005087741,0.018382353,0.233498225,1,0.733944954,0.414603565,1,1,1,0.000164007,0.020699199,0.346047418,8
RGS12,20,58,15,0,93,4344,0.5391795,35,33,21.4088,0.734299517,0.441860465,0.000106876,0.013790278,0,1,1,1.043478261,0.051465578,0.574713925,0.73549747,1,0.000165805,0.020785675,0.365639507,4
SPRED1,9,26,12,1,48,1335,0.6442941,15,17,35.9551,1.257731959,0.663043478,4.58E-05,0.006695092,0.054347826,0.41443284,1,0.864864865,0.305638975,1,4.85E-58,5.25E-57,0.000170767,0.021265081,0.870196769,15
PLAC4,1,3,7,0,11,450,0.545,2,2,24.4444,4.235294118,2.117647059,1.36E-05,0.002389081,0,1,1,0.857142857,0.541268243,1,2.67E-12,1.02E-11,0.00017294,0.021392105,0.95833303,21
AMOT,18,55,19,1,93,2028,0.4540938,24,35,45.8580,1.026737968,0.527472527,1.81E-05,0.003032939,0.027472527,0.657111102,1,0.684931507,0.566669781,1,0.00031811,0.000885539,0.000174078,0.021392105,0.906597624,X
ARHGAP5,19,63,22,0,104,4509,0.5418864,30,43,23.0650,1.126903553,0.5,1.59E-05,0.002705656,0,1,1,0.696629213,0.534903579,1,0.817998435,1,0.000191283,0.023352744,0.697538319,14
DENND6A,3,21,5,3,32,1827,0.7139286,14,5,17.5151,1.405405405,0.8125,0.0008749,0.072640338,0.15625,0.001260207,0.194276866,2.307692308,0.003981119,0.161539563,1.11E-48,1.01E-47,0.000193001,0.023409472,0.855727341,3
RUFY2,5,30,11,1,47,1926,0.62624,20,14,24.4029,1.964912281,0.727272727,0.000406485,0.040281356,0.064935065,0.359802569,1,1.35483871,0.011629226,0.271476724,0.999902973,1,0.000197881,0.02384659,0.851408766,10
ZMYM3,24,73,20,1,118,4113,0.5395294,41,49,28.6895,0.817813765,0.400793651,7.27E-05,0.009954605,0,0.786913986,1,0.831683168,0.200243641,0.903454196,1,1,0.000208513,0.024966818,0.49071102,X
MED23,21,44,18,4,87,4098,0.5244571,23,35,21.2299,0.838709677,0.5,2.25E-05,0.003571231,0.10989011,0.031543332,0.846204308,0.657534247,0.704829146,1,2.44E-10,8.72E-10,0.00021331,0.025378478,0.874495549,6
ASXL2,22,58,19,0,99,2757,0.5700513,29,38,35.9086,0.845814978,0.487309645,4.93E-05,0.007047214,0,1,1,0.759493671,0.278087429,1,0.968673101,1,0.0002411,0.028503247,0.776761806,2
RAD21,5,42,12,1,60,1896,0.5746667,26,18,31.6456,2.140350877,0.628865979,0.000516707,0.048840768,0.051546392,0.431586601,1,1.384615385,0.011530962,0.271476724,1,1,0.000252903,0.029710498,0.287650284,8
GGCT,2,7,6,0,15,567,0.9791667,6,2,26.4550,2.296296296,1.823529412,0.000180952,0.020731291,0,1,1,2,0.055998422,0.600158415,0.000126704,0.000362326,0.000270979,0.031635053,0.85292944,7
HNF1A,20,34,14,1,69,1896,0.7439,26,26,36.3924,0.685990338,0.518248175,0.000181084,0.020731291,0.03649635,0.55191019,1,0.981818182,0.118495742,0.771592454,5.88E-25,3.26E-24,0.0002938,0.034086291,0.96022838,12
LIMCH1,16,58,14,2,90,3252,0.8282,41,28,27.6753,0.850299401,0.482993197,0.001370768,0.099865597,0.068027211,0.219087258,1,1.423728814,0.001503414,0.088255577,0.998545534,1,0.00030511,0.035179911,0.941986925,4
CTNND1,16,41,15,3,75,2826,0.5340323,22,28,26.5393,0.910179641,0.517006803,8.42E-05,0.011161613,0.136054422,0.066408885,1,0.779661017,0.427652941,1,0.999917509,1,0.000319297,0.036589866,0.801251487,11
RBM26,11,48,10,2,71,2943,0.6066471,31,17,24.1250,0.871794872,0.554347826,0.002097139,0.135629695,0.108695652,0.10566516,1,1.72972973,0.000500425,0.043039944,2.02E-09,6.99E-09,0.000322936,0.036781255,0.709248726,13
HDAC2,4,32,7,1,44,1467,0.7480526,21,8,29.9932,1.531914894,0.765957447,0.002188822,0.138165643,0.106382979,0.234776399,1,2.315789474,0.000332424,0.0329098,9.69E-23,4.92E-22,0.000326142,0.036921302,0.946242413,6
MBD1,7,38,8,5,58,1818,0.8247931,28,13,31.9032,1.064935065,0.569444444,0.002762478,0.162811868,0.277777778,0.000177775,0.059380025,2,0.0006795,0.053281993,8.28E-19,3.72E-18,0.000338355,0.03807308,0.833888652,18
STX7,0,11,4,3,18,786,0.8607778,10,1,22.9008,6,1.75,0.002626696,0.159260726,0.833333333,9.83E-05,0.039276671,4.4,0.000917067,0.066343878,9.34E-11,3.40E-10,0.000341212,0.03809365,0.825696988,6
THUMPD3,3,16,8,0,27,1524,0.6516,10,7,17.7165,2.216216216,0.976190476,0.000274746,0.028937802,0,1,1,1.294117647,0.042553713,0.505087244,4.52E-59,5.01E-58,0.000342616,0.03809365,0.812123366,3
CPEB2,4,24,5,2,35,1770,0.82705,21,6,19.7740,1.106382979,0.702702703,0.004188667,0.208663559,0.135135135,0.02136265,0.720097705,2.933333333,5.72E-05,0.009571189,0.977655156,1,0.000353253,0.039043819,0.74947791,4
MYO1B,15,47,16,3,81,3237,0.6111351,31,31,25.0232,1.031847134,0.5,0.0003457,0.035010623,0.092592593,0.076800084,1,0.984615385,0.094329257,0.735247775,0.999201246,1,0.000365919,0.040205855,0.780064556,2
PHACTR4,9,24,12,2,47,2139,0.60325,16,17,21.9729,1.257731959,0.663043478,0.000175584,0.020483263,0.054347826,0.10566516,1,0.918918919,0.239788762,0.970645686,3.41E-98,9.86E-97,0.000369986,0.040360971,0.912538437,1
HMCN1,113,429,62,16,620,16908,0.6950561,314,199,36.6690,0.54705365,0.310379242,0.008049476,0.314586262,0.074850299,0.099092497,1,1.571072319,1.30E-06,0.000514146,0.999980937,1,0.000371652,0.040360971,0.299578596,1
TBC1D10C,8,15,10,0,33,1341,0.5806667,8,14,24.6085,1.172413793,0.662337662,2.75E-05,0.004338539,0,1,1,0.580645161,0.647172602,1,0.999999851,1,0.000382988,0.04132532,0.676323363,11
BRCA2,37,146,44,3,230,10257,0.3491731,49,111,22.4237,1.172413793,0.393238434,8.31E-06,0.001531998,0.026690391,0.543338545,1,0.444444444,0.991734283,1,1.03E-29,6.48E-29,0.000384957,0.04132532,0.774253001,13
NUP98,22,91,15,0,128,5403,0.6229643,63,38,23.6905,0.669603524,0.385786802,0.003455143,0.183395806,0,1,1,1.620253165,1.81E-05,0.003965093,1.68E-42,1.39E-41,0.000404371,0.043161428,0.512032879,11
SPATA6,3,19,7,1,30,1467,0.6848824,14,7,20.4499,1.945945946,0.857142857,0.000846831,0.071653253,0,0.211683238,1,1.764705882,0.01552481,0.329352822,0.992131711,1,0.000409049,0.043412608,0.730135989,1
AFF4,17,62,12,1,92,3492,0.6830244,45,29,26.3459,0.689265537,0.401315789,0.002308303,0.144716458,0,0.59014725,1,1.508196721,0.000448046,0.040031183,1.18E-09,4.12E-09,0.000423474,0.044689643,0.224104711,5
IDH2,1,49,4,1,55,1359,0.8644783,24,4,40.4709,2.470588235,0.777777778,0.008888675,0.331603805,0.185185185,0.138137518,1,4.545454545,1.38E-06,0.000535822,1,1,0.000433791,0.045521226,0.394360686,15
EPB41L4A,7,40,9,1,57,2061,0.6611154,28,14,27.6565,1.194805195,0.597402597,0.002659179,0.160176446,0.064935065,0.359802569,1,1.870967742,0.000406701,0.03812988,1.22E-65,1.52E-64,0.000440636,0.045981257,0.24463808,5
ANKRD46,0,9,3,1,13,687,0.89625,7,0,18.9229,4.571428571,2.285714286,0.002177764,0.137939997,0.714285714,0.029294266,0.817879874,5.333333333,0.00193329,0.105361465,1,1,0.000446616,0.046346359,0.646185816,8
ANO3,24,85,15,3,127,2946,0.6749821,61,43,43.1093,0.615384615,0.342342342,0.00348272,0.18393554,0.067567568,0.158675129,1,1.393258427,0.00020313,0.02404441,0.999987498,1,0.000449606,0.046398815,0.590612634,11
RBBP6,24,79,20,3,126,5379,0.5081346,41,45,23.4244,0.817813765,0.435344828,0.00032328,0.033475836,0.064655172,0.173028032,1,0.903225806,0.144445781,0.848879762,0.999999996,1,0.000466431,0.04762657,0.80826134,16
NEK9,7,33,10,1,51,2940,0.5088846,22,16,17.3469,1.324675325,0.586206897,0.000859124,0.071653253,0.057471264,0.396761409,1,1.314285714,0.017551847,0.342096928,4.52E-08,1.50E-07,0.000466602,0.04762657,0.724323484,14
SMARCA1,19,45,14,3,81,3165,0.6608158,30,26,25.5924,0.720812183,0.518248175,0.000758501,0.065637035,0.109489051,0.05214335,1,1.127272727,0.038199088,0.505087244,0.999999999,1,0.000471112,0.047803094,0.52011947,X
BAX,3,10,7,0,20,657,0.56075,6,5,30.4414,1.945945946,1.125,0.00011877,0.014892263,0,1,1,1.076923077,0.268037051,1,3.44E-23,1.78E-22,0.00047345,0.047803094,0.86196214,19
PNISR,1,24,11,2,38,2418,0.5359444,11,10,15.7155,6.588235294,0.98245614,0.000200825,0.022318292,0.087719298,0.061838684,1,1.043478261,0.320318081,1,6.55E-15,2.68E-14,0.000496479,0.049858745,0.910887477,6
WAC,7,29,11,3,50,1944,0.48875,15,15,25.7202,1.454545455,0.682926829,0.000334532,0.034066824,0.12195122,0.014753078,0.63176875,0.96969697,0.204802973,0.91032252,0.999999226,1,0.00050496,0.050439316,0.867223052,10
C2CD5,11,45,17,2,75,3003,0.3319706,17,30,24.9750,1.47008547,0.547770701,4.13E-05,0.006085474,0.063694268,0.240860408,1,0.571428571,0.791628032,1,0.9973122,1,0.000513676,0.050777356,0.499714318,12
INO80,9,69,13,1,92,4671,0.549587,41,29,19.6960,1.360824742,0.434210526,0.00202567,0.131933409,0.032894737,0.59014725,1,1.37704918,0.001497786,0.088255577,7.16E-57,7.56E-56,0.000513781,0.050777356,0.780260251,15
CUL3,9,54,9,5,77,2307,0.74045,38,19,33.3767,0.948453608,0.450980392,0.007891833,0.312150787,0.245098039,0.000575139,0.117527904,1.902439024,2.83E-05,0.005629812,6.90E-66,8.64E-65,0.000518198,0.05094435,0.856454189,2
RIMS2,53,243,31,2,329,3492,0.6869304,154,99,94.2153,0.581005587,0.310756972,0.010053742,0.358434392,0.019920319,0.836941553,1,1.542288557,4.04E-07,0.000187608,1,1,0.000528179,0.051653697,0.26617415,8
PSIP1,7,21,11,7,46,1002,0.6459375,12,13,45.9082,1.454545455,0.777777778,0.000511495,0.04859733,0.347222222,1.02E-06,0.000753112,0.896551724,0.228811388,0.953842716,1.06E-37,8.16E-37,0.000557158,0.054203912,0.769570785,9
DUSP16,8,30,13,0,51,1998,0.5124737,13,20,25.5255,1.517241379,0.61682243,4.78E-05,0.00694023,0,1,1,0.651162791,0.636559335,1,3.23E-16,1.35E-15,0.000564344,0.054618547,0.786831261,12
UPF3B,6,29,11,1,47,1452,0.5285,15,12,32.3691,1.671641791,0.835820896,0.000509371,0.04859733,0.074626866,0.320579359,1,1.185185185,0.089978673,0.724507651,0.999999984,1,0.000570645,0.054943674,0.927234332,X
ATG5,0,7,6,0,13,828,0.4186667,3,2,15.7005,8.857142857,1.823529412,0.000122303,0.015231708,0,1,1,1.142857143,0.334104965,1,5.67E-16,2.36E-15,0.00057613,0.055187364,0.771711269,6
SFPQ,3,18,7,0,28,2124,0.5873846,12,6,13.1827,1.945945946,0.972972973,0.000659619,0.058452416,0,1,1,1.733333333,0.024817073,0.416621939,0.000220998,0.000624134,0.000591507,0.055997307,0.630463843,1
SEC22A,0,13,5,0,18,924,0.7106667,7,2,19.4805,7.428571429,1.529411765,0.000618123,0.055849194,0,1,1,2.285714286,0.028794463,0.428948973,0.966736972,1,0.000591744,0.055997307,0.712667451,3
CSDE1,8,52,11,2,73,2397,0.6068837,29,20,30.4547,1.287356322,0.523364486,0.001482169,0.105888928,0.093457944,0.145023725,1,1.395348837,0.0111125,0.271476724,1.19E-30,7.66E-30,0.000593579,0.055997307,0.728473948,1
PRRC2C,23,83,15,0,121,8697,0.6627458,56,39,13.9128,0.641350211,0.376237624,0.002708369,0.161034364,0,1,1,1.407407407,0.000305686,0.031386027,0.998449146,1,0.000598462,0.056174271,0.57925873,1
HLA-DRB1,4,9,11,1,25,801,0.3025,1,9,31.2110,2.382978723,1.076923077,1.83E-05,0.003032939,0.096153846,0.278953046,1,0.19047619,0.996960147,1,9.06E-192,1.17E-189,0.000611922,0.05715047,0.902096953,6
SESTD1,4,39,8,1,52,2091,0.6563235,27,12,24.8685,1.744680851,0.611940299,0.003929732,0.198446075,0.074626866,0.320579359,1,2.074074074,0.000334694,0.0329098,0.999963699,1,0.000618626,0.057489135,0.655179811,2
CD58,3,9,7,1,20,753,0.4794286,4,5,26.5604,1.945945946,1.125,0.000201,0.022318292,0.15625,0.163385147,1,0.769230769,0.391078583,1,5.84E-35,4.25E-34,0.000635597,0.058773849,0.959600008,1
ZNF319,6,25,8,0,39,1749,0.7368125,18,11,22.2985,1.223880597,0.661290323,0.000852919,0.071653253,0,1,1,1.52,0.017647003,0.342096928,0.830007331,1,0.000655142,0.060282781,0.857631107,16
PTPRK,29,97,19,3,148,4323,0.6893898,61,53,34.2355,0.646464646,0.352941176,0.001986792,0.130381293,0.055147059,0.241318076,1,1.137614679,0.005665169,0.196420712,1.08E-07,3.53E-07,0.000660423,0.06047079,0.8938272,6
CHD3,29,100,17,3,149,6003,0.6529324,65,47,24.8209,0.579124579,0.355371901,0.005149321,0.239073768,0.041322314,0.187728021,1,1.360824742,0.000195419,0.023582225,0.01216593,0.030651119,0.000683064,0.062238825,0.546993329,17
RPL18,4,8,8,0,20,567,0.3918,4,6,35.2734,1.744680851,1.108108108,6.18E-05,0.008698238,0,1,1,0.666666667,0.641425555,1,2.89E-23,1.51E-22,0.000692208,0.062765749,0.935461305,19
PPM1D,8,28,14,0,50,1818,0.4618696,13,20,27.5028,1.632183908,0.663551402,5.65E-05,0.008017573,0,1,1,0.651162791,0.68723592,1,0.999999498,1,0.000724228,0.065351913,0.821438139,17
BRE,5,24,7,3,39,1248,0.5563889,13,8,31.2500,1.263157895,0.765957447,0.001357357,0.099280992,0.319148936,0.00347584,0.319328036,1.473684211,0.042950415,0.505087244,0.994237828,1,0.000732854,0.065812433,0.841870889,2
SPCS1,0,6,3,0,9,309,0.8573333,5,0,29.1262,4.571428571,2.285714286,0.001588327,0.111315737,0,NA,NA,4,0.011524994,0.271476724,2.60E-52,2.51E-51,0.000736976,0.06586595,0.817126793,3
SPSB2,2,9,6,0,17,792,0.5804,6,4,21.4646,2.296296296,1.148148148,0.000285071,0.029854703,0,1,1,1.272727273,0.182685492,0.886481429,0.975140908,1,0.000743946,0.066172249,0.851749269,12
TMPO,4,24,8,0,36,1365,0.5886,13,8,26.3736,1.744680851,0.872340426,0.000679792,0.059666322,0,1,1,1.473684211,0.042950415,0.505087244,0.032992968,0.080181583,0.000756303,0.066952493,0.802836473,12
ZNF750,18,44,14,0,76,2172,0.57444,26,31,34.9908,0.759358289,0.438271605,0.000247019,0.026471255,0,1,1,0.830769231,0.230794772,0.959957487,4.26E-06,1.31E-05,0.000768566,0.067399302,0.663548641,17
TMEM30A,3,15,9,1,28,1086,0.4444,6,9,25.7827,2.486486486,0.884615385,0.000124486,0.015399458,0.096153846,0.257193063,1,0.666666667,0.626064664,1,0.309115745,0.665051025,0.000772369,0.067416287,0.946749515,6
SPRED2,12,34,9,0,55,1257,0.6757692,22,18,43.7550,0.724409449,0.474226804,0.00089585,0.074046249,0,1,1,1.179487179,0.024967695,0.418017695,0.999820315,1,0.000778243,0.067612988,0.657058615,2
RXRB,5,15,6,0,26,1602,0.8405,12,6,16.2297,1.087719298,0.837837838,0.000905791,0.074533638,0,1,1,1.733333333,0.024817073,0.416621939,0.999972938,1,0.000784135,0.06780951,0.663707957,6
BRWD3,15,120,16,3,154,5409,0.5967667,75,50,28.4711,1.031847134,0.315175097,0.011411909,0.383839991,0.058365759,0.202733351,1,1.475728155,6.15E-06,0.001681204,1,1,0.00079674,0.068582044,0.442228925,X
PCDH7,23,77,12,0,112,3603,0.6839492,58,38,31.0852,0.514767932,0.30964467,0.004773131,0.229708502,0,1,1,1.493670886,9.39E-05,0.013951721,0.999995802,1,0.000810341,0.069432825,0.626465837,4
ZBTB18,12,34,11,0,57,1596,0.6486296,23,19,35.7143,0.881889764,0.549019608,0.000602341,0.055126224,0,1,1,1.170731707,0.065788874,0.621617423,0.021235517,0.052502742,0.000819188,0.069870381,0.720160263,1
DEPDC5,27,71,18,2,118,4719,0.6204909,42,48,25.0053,0.657039711,0.368421053,0.000477173,0.04629076,0.04048583,0.442626698,1,0.868686869,0.18336099,0.886481429,0.999605129,1,0.000831315,0.070582449,0.679129882,22
BTBD7,13,56,12,0,81,3399,0.6652059,37,28,23.8305,0.890510949,0.414965986,0.001834769,0.122976204,0,1,1,1.288135593,0.004714927,0.17774955,1.75E-05,5.26E-05,0.000857322,0.072461149,0.366211568,14
BCL10,4,11,9,0,24,702,0.613,7,8,34.1880,1.957446809,0.978723404,0.000157882,0.019020134,0,1,1,0.842105263,0.420054497,1,1.09E-09,3.81E-09,0.000861405,0.072478301,0.914968325,1
GNPTAB,13,46,13,2,74,3771,0.5516579,27,25,19.6234,0.96350365,0.5,0.000984445,0.079237091,0.075757576,0.186800083,1,1.056603774,0.072116807,0.639495537,0.12169647,0.276743166,0.000867598,0.072672052,0.840763256,12
PLEKHM3,12,26,10,0,48,2286,0.5251875,19,18,20.9974,0.803149606,0.525773196,0.000380153,0.038081396,0,1,1,1.025641026,0.166211067,0.876560863,8.23E-21,3.92E-20,0.000891073,0.074305186,0.848467927,2
